beat_id,source_file,source_in,source_out,timecode_basis,source_fps,role,review_status,notes
B01,cut-for-ryan.mp4,50,83,elapsed seconds from export start,24,b-roll,unclear,"C01: case/OLED delight; actual sampled picture and ASR reviewed; audition 00:55–01:14 close-ups; audio and final trims unverified. See old-cut-review.md."
B03,cut-for-ryan.mp4,370,398,elapsed seconds from export start,24,journey,unclear,"C02: third Pi and accessory reveal; candidate original footage; sampled picture plus ASR; needs listening and continuity review."
B03,cut-for-ryan.mp4,398,426,elapsed seconds from export start,24,explainer,unclear,"C03: existing packet-observability motive; retain idea and qualify capture/comparison claims; sampled picture plus ASR; no listening pass."
B04,cut-for-ryan.mp4,432,478,elapsed seconds from export start,24,b-roll,unclear,"C04: assembly and OLED waking; physical-build candidate; display waking does not prove DHCP readiness; motion/audio/boundaries need playback."
B05,cut-for-ryan.mp4,782,797,elapsed seconds from export start,24,journey,unclear,"C05: automatic-address satisfaction from old run; picture sampled and ASR read; old .4/.1 allocation; do not present as reaction to fresh-run packets."
B07,cut-for-ryan.mp4,797,810,elapsed seconds from export start,24,transition,unclear,"C05: numbering frustration can motivate preference improvement; remove future deferral if resolved here; ASR timing and sampled picture only."
B02,cut-for-ryan.mp4,187,224,elapsed seconds from export start,24,explainer,unclear,"C06 setup: switch management interface requests an address; device attribution/details need verification; ASR and sampled picture; no listening pass."
B05,cut-for-ryan.mp4,1087,1137,elapsed seconds from export start,24,explainer,unclear,"C06 callback: switch ARPs from .3; highlighted frame inspected at 1095s; ARP alone does not prove its DHCP exchange; recreate with fresh evidence."
B04,cut-for-ryan.mp4,635,654,elapsed seconds from export start,24,journey,unclear,"C07: ten-Pis joke; idea to preserve if natural; old config visible; delivery and sound unverified."
B05,cut-for-ryan.mp4,962,967,elapsed seconds from export start,24,evidence,unclear,"C08: readable successful ping at 964s verified in full-resolution still; copy presentation pattern for new evidence; audio and edit boundaries unverified."
B06,cut-for-ryan.mp4,1137,1157,elapsed seconds from export start,24,explainer,unclear,"C09: join and communicate without manual configuration; ASR and sampled picture; end before router comparison; final boundary needs listening."
